start,end,duration_s
2026-04-23 13:05:52,2026-04-23 13:07:23,91.0
2026-04-23 13:07:23,2026-04-23 13:07:37,14.0
2026-04-23 13:07:37,2026-04-23 13:07:52,15.0
2026-04-23 13:07:52,2026-04-23 13:08:06,14.0
2026-04-23 13:08:06,2026-04-23 13:08:20,14.0
2026-04-23 13:08:20,2026-04-23 13:08:38,18.0
2026-04-23 13:08:38,2026-04-23 13:08:52,14.0
2026-04-23 13:08:52,2026-04-23 13:09:06,14.0
2026-04-23 13:09:06,2026-04-23 13:09:21,15.0
2026-04-23 13:09:21,2026-04-23 13:09:35,14.0
2026-04-23 13:09:35,2026-04-23 13:09:53,18.0
2026-04-23 13:09:53,2026-04-23 13:10:07,14.0
2026-04-23 13:10:07,2026-04-23 13:10:10,3.0
2026-04-23 13:10:10,2026-04-23 13:10:24,14.0
2026-04-23 13:10:24,2026-04-23 13:10:39,15.0
2026-04-23 13:10:39,2026-04-23 13:10:59,20.0
2026-04-23 13:10:59,2026-04-23 13:11:02,3.0
2026-04-23 13:11:02,2026-04-23 13:11:05,3.0
2026-04-23 13:11:05,2026-04-23 13:11:19,14.0
2026-04-23 13:11:19,2026-04-23 13:11:22,3.0
2026-04-23 13:11:22,2026-04-23 13:11:39,17.0
2026-04-23 13:11:39,2026-04-23 13:11:45,6.0
2026-04-23 13:11:45,2026-04-23 13:13:22,97.0
2026-04-23 13:13:22,2026-04-23 13:13:36,14.0
2026-04-23 13:13:36,2026-04-23 13:13:51,15.0
2026-04-23 13:13:51,2026-04-23 13:14:05,14.0
2026-04-23 13:14:05,2026-04-23 13:14:19,14.0
2026-04-23 13:14:19,2026-04-23 13:14:25,6.0
2026-04-23 13:14:25,2026-04-23 13:14:40,15.0
2026-04-23 13:14:40,2026-04-23 13:14:54,14.0
2026-04-23 13:14:54,2026-04-23 13:15:09,15.0
2026-04-23 13:15:09,2026-04-23 13:15:23,14.0
2026-04-23 13:15:23,2026-04-23 13:18:45,202.0
2026-04-23 13:18:45,2026-04-23 13:18:59,14.0
2026-04-23 13:18:59,2026-04-23 13:19:14,15.0
2026-04-23 13:19:14,2026-04-23 13:19:28,14.0
2026-04-23 13:19:28,2026-04-23 13:19:42,14.0
2026-04-23 13:19:42,2026-04-23 13:20:00,18.0
2026-04-23 13:20:00,2026-04-23 13:20:14,14.0
2026-04-23 13:20:14,2026-04-23 13:20:29,15.0
2026-04-23 13:20:29,2026-04-23 13:20:43,14.0
2026-04-23 13:20:43,2026-04-23 13:20:57,14.0
2026-04-23 13:20:57,2026-04-23 13:21:03,6.0
2026-04-23 13:21:03,2026-04-23 13:21:18,15.0
2026-04-23 13:21:18,2026-04-23 13:21:32,14.0
2026-04-23 13:21:32,2026-04-23 13:21:47,15.0
2026-04-23 13:21:47,2026-04-23 13:22:01,14.0
2026-04-23 13:22:01,2026-04-23 13:22:33,32.0
2026-04-23 13:22:33,2026-04-23 13:23:55,82.0
2026-04-23 13:23:55,2026-04-23 13:24:10,15.0
2026-04-23 13:24:10,2026-04-23 13:24:24,14.0
2026-04-23 13:24:24,2026-04-23 13:24:39,15.0
2026-04-23 13:24:39,2026-04-23 13:24:53,14.0
2026-04-23 13:24:53,2026-04-23 13:25:10,17.0
2026-04-23 13:25:10,2026-04-23 13:25:13,3.0
2026-04-23 13:25:13,2026-04-23 13:25:28,15.0
2026-04-23 13:25:28,2026-04-23 13:25:42,14.0
2026-04-23 13:25:42,2026-04-23 13:25:56,14.0
2026-04-23 13:25:56,2026-04-23 13:30:36,280.0
2026-04-23 13:30:36,2026-04-23 13:30:50,14.0
2026-04-23 13:30:50,2026-04-23 13:30:53,3.0
2026-04-23 13:30:53,2026-04-23 13:31:08,15.0
2026-04-23 13:31:08,2026-04-23 13:31:25,17.0
2026-04-23 13:31:25,2026-04-23 13:31:39,14.0
2026-04-23 13:31:39,2026-04-23 13:31:54,15.0
2026-04-23 13:31:54,2026-04-23 13:32:08,14.0
2026-04-23 13:32:08,2026-04-23 13:32:22,14.0
2026-04-23 13:32:22,2026-04-23 13:35:48,206.0
2026-04-23 13:35:48,2026-04-23 13:36:02,14.0
2026-04-23 13:36:02,2026-04-23 13:36:16,14.0
2026-04-23 13:36:16,2026-04-23 13:36:19,3.0
2026-04-23 13:36:19,2026-04-23 13:36:34,15.0
2026-04-23 13:36:34,2026-04-23 13:36:48,14.0
2026-04-23 13:36:48,2026-04-23 13:36:51,3.0
2026-04-23 13:36:51,2026-04-23 13:37:06,15.0
2026-04-23 13:37:06,2026-04-23 13:37:23,17.0
2026-04-23 13:37:23,2026-04-23 13:37:37,14.0
2026-04-23 13:37:37,2026-04-23 13:37:52,15.0
2026-04-23 13:37:52,2026-04-23 13:38:06,14.0
2026-04-23 13:38:06,2026-04-23 13:38:21,15.0
2026-04-23 13:38:21,2026-04-23 13:38:38,17.0
2026-04-23 13:38:38,2026-04-23 13:38:52,14.0
2026-04-23 13:38:52,2026-04-23 13:39:07,15.0
2026-04-23 13:39:07,2026-04-23 13:39:21,14.0
2026-04-23 13:39:21,2026-04-23 13:39:36,15.0
2026-04-23 13:39:36,2026-04-23 13:39:50,14.0
2026-04-23 13:39:50,2026-04-23 13:40:05,15.0
2026-04-23 13:40:05,2026-04-23 13:40:19,14.0
2026-04-23 13:40:19,2026-04-23 13:40:36,17.0
2026-04-23 13:40:36,2026-04-23 13:40:51,15.0
2026-04-23 13:40:51,2026-04-23 13:40:54,3.0
2026-04-23 13:40:54,2026-04-23 13:41:08,14.0
2026-04-23 13:41:08,2026-04-23 13:41:22,14.0
2026-04-23 13:41:22,2026-04-23 13:41:37,15.0
2026-04-23 13:41:37,2026-04-23 13:41:40,3.0
2026-04-23 13:41:40,2026-04-23 13:41:57,17.0
2026-04-23 13:41:57,2026-04-23 13:42:12,15.0
2026-04-23 13:42:12,2026-04-23 13:42:26,14.0
2026-04-23 13:42:26,2026-04-23 13:42:40,14.0
2026-04-23 13:42:40,2026-04-23 13:42:55,15.0
2026-04-23 13:42:55,2026-04-23 13:43:15,20.0
2026-04-23 13:43:15,2026-04-23 13:43:30,15.0
2026-04-23 13:43:30,2026-04-23 13:43:44,14.0
2026-04-23 13:43:44,2026-04-23 13:43:58,14.0
2026-04-23 13:43:58,2026-04-23 13:48:05,247.0
2026-04-23 13:48:05,2026-04-23 13:48:19,14.0
2026-04-23 13:48:19,2026-04-23 13:48:34,15.0
2026-04-23 13:48:34,2026-04-23 13:48:43,9.0
2026-04-23 13:48:43,2026-04-23 13:48:57,14.0
2026-04-23 13:48:57,2026-04-23 13:49:12,15.0
2026-04-23 13:49:12,2026-04-23 13:49:26,14.0
2026-04-23 13:49:26,2026-04-23 13:49:40,14.0
2026-04-23 13:49:40,2026-04-23 13:49:55,15.0
2026-04-23 13:49:55,2026-04-23 13:50:12,17.0
2026-04-23 13:50:12,2026-04-23 13:53:58,226.0
2026-04-23 13:53:58,2026-04-23 14:57:22,3804.0
2026-04-23 14:57:22,2026-04-23 14:57:36,14.0
2026-04-23 14:57:36,2026-04-23 14:57:50,14.0
2026-04-23 14:57:50,2026-04-23 14:58:08,18.0
2026-04-23 14:58:08,2026-04-23 14:58:22,14.0
2026-04-23 14:58:22,2026-04-23 14:58:37,15.0
2026-04-23 14:58:37,2026-04-23 14:58:51,14.0
2026-04-23 14:58:51,2026-04-23 14:59:06,15.0
2026-04-23 14:59:06,2026-04-23 14:59:20,14.0
2026-04-23 14:59:20,2026-04-23 14:59:37,17.0
2026-04-23 14:59:37,2026-04-23 14:59:52,15.0
2026-04-23 14:59:52,2026-04-23 15:00:06,14.0
2026-04-23 15:00:06,2026-04-23 15:00:20,14.0
2026-04-23 15:00:20,2026-04-23 15:00:35,15.0
2026-04-23 15:00:35,2026-04-23 15:00:52,17.0
2026-04-23 15:00:52,2026-04-23 15:01:07,15.0
2026-04-23 15:01:07,2026-04-23 15:01:21,14.0
2026-04-23 15:01:21,2026-04-23 15:01:35,14.0
2026-04-23 15:01:35,2026-04-23 15:01:38,3.0
2026-04-23 15:01:38,2026-04-23 15:01:53,15.0
2026-04-23 15:01:53,2026-04-23 15:01:56,3.0
2026-04-23 15:01:56,2026-04-23 15:02:10,14.0
2026-04-23 15:02:10,2026-04-23 15:02:25,15.0
2026-04-23 15:02:25,2026-04-23 15:02:42,17.0
2026-04-23 15:02:42,2026-04-23 15:02:56,14.0
2026-04-23 15:02:56,2026-04-23 15:03:11,15.0
